"scientificName","nativeStatus","plantOrigin"
"Fissidens elegans",NA,NA
"Fissidens exilis","NA(N)","native"
"Fissidens fontanus","NA(N)","native"
"Fissidens grandifrons","NA(N)","native"
"Fissidens hallianus","NA(N)","native"
"Fissidens hallii","NA(N)","native"
"Fissidens hyalinus","NA(N)","native"
"Fissidens kochii","NA(N)","native"
"Fissidens limbatus",NA,NA
"Fissidens littlei","NA(N)","native"
"Fissidens microcladus","NA(N)","native"
"Fissidens milobakeri","NA(N)","native"
"Fissidens neonii","NA(N)","native"
"Fissidens obtusifolius","NA(N)","native"
"Fissidens obtusifolius var. apiculatus","NA(N)","native"
"Fissidens obtusifolius var. kansanus","NA(N)","native"
"Fissidens obtusifolius var. marginatus","NA(N)","native"
"Fissidens obtusifolius var. obtusifolius","NA(N)","native"
"Fissidens osmundioides","NA(N)","native"
"Fissidens pallidinervis",NA,NA
"Fissidens papillosus","NA(N)","native"
"Fissidens pauperculus","NA(N)","native"
"Fissidens pellucidus","NA(N)","native"
"Fissidens polypodioides","NA(N)","native"
"Fissidens ravenelii","NA(N)","native"
"Fissidens reesei","NA(N)","native"
"Fissidens subbasilaris","NA(N)","native"
"Fissidens sublimbatus","NA(N)","native"
"Fissidens taxifolius","NA(N)","native"
"Fissidens ventricosus","NA(N)","native"
"Fissidens zollingeri","NA(N)","native"
"Fitchia",NA,NA
"Fitchia speciosa","HI(I)",NA
"Fitzroya",NA,NA
"Fitzroya cupressoides",NA,NA
"Flacourtia","L48(I)","alien"
"Flacourtia indica","L48(I)PR(I)","alien"
"Flacourtia inermis","L48(N?)PR(I)","native"
"Flacourtia jangomas",NA,NA
"Flacourtia rukam",NA,NA
"Flacourtia rukam var. micronesica","L48(N)","native"
"Flagellaria",NA,NA
"Flagellaria indica","L48(N)","native"
"Flaveria","L48(N)","native"
"Flaveria bidentis","L48(N)PR(N)","native"
"Flaveria brownii","L48(N)","native"
"Flaveria campestris","L48(N)","native"
"Flaveria chlorifolia","L48(N)","native"
"Flaveria floridana","L48(N)","native"
"Flaveria linearis","L48(N)","native"
"Flaveria macdougalii","L48(N)","native"
"Flaveria trinervia","L48(N)HI(I)PR(N)","native"
"Flavocetraria","NA(N)","native"
"Flavocetraria cucullata","NA(N)","native"
"Flavocetraria nivalis","NA(N)","native"
"Flavoparmelia","NA(N)","native"
"Flavoparmelia baltimorensis","NA(N)","native"
"Flavoparmelia caperata","NA(N)","native"
"Flavoparmelia concreta","NA(N)","native"
"Flavoparmelia rutidota","NA(N)","native"
"Flavopunctelia","NA(N)","native"
"Flavopunctelia darrowi","NA(N)","native"
"Flavopunctelia flaventior","NA(N)","native"
"Flavopunctelia praesignis","NA(N)","native"
"Flavopunctelia soredica","NA(N)","native"
"Fleischmannia","L48(N)","native"
"Fleischmannia incarnata","L48(N)","native"
"Fleischmannia microstemon","PR(N)",NA
"Fleischmannia pycnocephala","L48(N)","native"
"Fleischmannia sonorae","L48(N)","native"
"Flemingia",NA,NA
"Flemingia strobilifera","L48(I)HI(I)PR(I)","alien"
"Flickingeria",NA,NA
"Flickingeria comata","L48(N)","native"
"Flindersia",NA,NA
"Flindersia brayleyana","HI(I)",NA
"Floerkea","L48(N)CAN(N)","native"
"Floerkea proserpinacoides","L48(N)CAN(N)","native"
"Florestina","L48(N)","native"
"Florestina tripteris","L48(N)","native"
"Flourensia","L48(N)","native"
"Flourensia cernua","L48(N)","native"
"Flourensia pringlei","L48(N)","native"
"Flueggea","L48(I)","alien"
"Flueggea acidoton","L48(I)PR(I)VI(I)","alien"
"Flueggea neowawraea","HI(N)",NA
"Flueggea tinctoria",NA,NA
"Flueggea virosa","PR(I)",NA
"Flyriella","L48(N)","native"
"Flyriella parryi","L48(N)","native"
"Foeniculum","L48(I)CAN(I)","alien"
"Foeniculum vulgare","L48(I)HI(I)PR(I)VI(I)CAN(I)","alien"
"Fontanesia","L48(I)","alien"
"Fontanesia phillyreoides","L48(I)","alien"
"Fontanesia phillyreoides ssp. fortunei","L48(I)","alien"
"Fontinalis","NA(N)","native"
"Fontinalis antipyretica","NA(N)","native"
"Fontinalis antipyretica var. antipyretica","NA(N)","native"
"Fontinalis antipyretica var. gigantea","NA(N)","native"
"Fontinalis antipyretica var. oregonensis","NA(N)","native"
"Fontinalis dalecarlica","NA(N)","native"
"Fontinalis filiformis","NA(N)","native"
"Fontinalis flaccida","NA(N)","native"
"Fontinalis hypnoides","NA(N)","native"
"Fontinalis hypnoides var. duriaei","NA(N)","native"
"Fontinalis hypnoides var. hypnoides","NA(N)","native"
"Fontinalis langloisii","NA(N)","native"
"Fontinalis macmillanii","NA(N)","native"
"Fontinalis missourica","NA(N)","native"
"Fontinalis neomexicana","NA(N)","native"
"Fontinalis novae-angliae","NA(N)","native"
"Fontinalis novae-angliae var. cymbifolia","NA(N)","native"
"Fontinalis novae-angliae var. lorenziae","NA(N)","native"
"Fontinalis novae-angliae var. novae-angliae","NA(N)","native"
"Fontinalis sphagnifolia","NA(N)","native"
"Fontinalis sullivantii","NA(N)","native"
"Fontinalis welchiana","NA(N)","native"
"Forchhammeria",NA,NA
"Forchhammeria brevipes","PR(N)",NA
"Forchhammeria polyandra","PR(I)",NA
"Forestiera","L48(N)","native"
"Forestiera acuminata","L48(N)","native"
"Forestiera angustifolia","L48(N)","native"
"Forestiera eggersiana","PR(N)VI(N)",NA
"Forestiera godfreyi","L48(N)","native"
"Forestiera ligustrina","L48(N)","native"
"Forestiera pubescens","L48(N)","native"
"Forestiera pubescens var. glabrifolia","L48(N)","native"
"Forestiera pubescens var. pubescens","L48(N)","native"
"Forestiera reticulata","L48(N)","native"
"Forestiera rhamnifolia","PR(N)VI(N)",NA
"Forestiera segregata","L48(N)PR(N)VI(N)","native"
"Forestiera segregata var. pinetorum","L48(N)","native"
"Forestiera segregata var. segregata","L48(N)PR(N)VI(N)","native"
"Forestiera shrevei","L48(N)","native"
"Forsstroemia","NA(N)","native"
"Forsstroemia producta","NA(N)","native"
"Forsstroemia trichomitria","NA(N)","native"
"Forsteronia",NA,NA
"Forsteronia corymbosa","PR(N)",NA
"Forsythia","L48(I)CAN(I)","alien"
"Forsythia X intermedia","L48(I)","alien"
"Forsythia europaea",NA,NA
"Forsythia ovata","L48(I)","alien"
"Forsythia suspensa","L48(I)","alien"
"Forsythia viridissima","L48(I)CAN(I)","alien"
"Fortunella","L48(I)","alien"
"Fortunella X crassifolia",NA,NA
"Fortunella hindsii",NA,NA
"Fortunella japonica","L48(I)","alien"
"Fortunella margarita","PR(I)",NA
"Fossombronia","NA(N)","native"
"Fossombronia alaskana","NA(N)","native"
"Fossombronia brasiliensis","NA(N)","native"
"Fossombronia cristula","NA(N)","native"
"Fossombronia foveolata","NA(N)","native"
"Fossombronia hispidissima","NA(N)","native"
"Fossombronia lamellata","NA(N)","native"
"Fossombronia longiseta","NA(N)","native"
"Fossombronia macounii","NA(N)","native"
"Fossombronia texana","NA(N)","native"
"Fossombronia wondraczekii","NA(N)","native"
"Fossombronia zygospora","NA(N)","native"
"Fothergilla","L48(N)","native"
"Fothergilla gardenii","L48(N)","native"
"Fothergilla major","L48(N)","native"
"Fouquieria","L48(N)","native"
"Fouquieria columnaris",NA,NA
"Fouquieria diguetii",NA,NA
"Fouquieria splendens","L48(N)","native"
"Fragaria","L48(I,N)CAN(I,N)SPM(N)","native"
"Fragaria X ananassa","L48(N)AK(N?)CAN(I)","native"
"Fragaria X ananassa ssp. ananassa","L48(N)CAN(I)","native"
"Fragaria X ananassa ssp. cuneifolia","L48(N)AK(N?)CAN(I)","native"
"Fragaria X bringhurstii","L48(N)","native"
"Fragaria cascadensis","L48(N)","native"
"Fragaria chiloensis","L48(I,N)AK(I)HI(N)CAN(N)","native"
"Fragaria chiloensis ssp. chiloensis",NA,NA
"Fragaria chiloensis ssp. lucida","L48(I)CAN(N)","alien"
"Fragaria chiloensis ssp. pacifica","L48(N)AK(I)CAN(N)","native"
"Fragaria chiloensis ssp. sandwicensis","HI(N)",NA
"Fragaria vesca","L48(N)HI(I)CAN(N)","native"
"Fragaria vesca ssp. americana","L48(N)HI(I)CAN(N)","native"
"Fragaria vesca ssp. bracteata","L48(N)CAN(N)","native"
"Fragaria vesca ssp. californica","L48(N)","native"
"Fragaria vesca ssp. vesca","L48(N)","native"
"Fragaria virginiana","L48(N)AK(N)CAN(N)SPM(N)","native"
"Fragaria virginiana ssp. glauca","L48(N)AK(N)CAN(N)","native"
"Fragaria virginiana ssp. grayana","L48(N)","native"
"Fragaria virginiana ssp. platypetala","L48(N)AK(N)CAN(N)","native"
"Fragaria virginiana ssp. virginiana","L48(N)CAN(N)SPM(N)","native"
"Frangula","L48(I,N)CAN(I,N)","native"
"Frangula X blumeri","L48(N)","native"
"Frangula alnus","L48(I)CAN(I)","alien"
"Frangula betulifolia","L48(N)","native"
"Frangula betulifolia ssp. betulifolia","L48(N)","native"
"Frangula betulifolia ssp. obovata","L48(N)","native"
"Frangula californica","L48(N)HI(I)","native"
"Frangula californica ssp. californica","L48(N)HI(I)","native"
"Frangula californica ssp. crassifolia","L48(N)","native"
"Frangula californica ssp. cuspidata","L48(N)","native"
"Frangula californica ssp. occidentalis","L48(N)","native"
"Frangula californica ssp. tomentella","L48(N)","native"
"Frangula californica ssp. ursina","L48(N)","native"
"Frangula caroliniana","L48(N)","native"
"Frangula purshiana","L48(N)CAN(N)","native"
"Frangula purshiana ssp. annonifolia","L48(N)","native"
"Frangula purshiana ssp. purshiana","L48(N)CAN(N)","native"
"Frangula purshiana ssp. ultramafica","L48(N)","native"
"Frangula rubra","L48(N)","native"
"Frangula rubra ssp. modocensis","L48(N)","native"
"Frangula rubra ssp. nevadensis","L48(N)","native"
"Frangula rubra ssp. obtusissima","L48(N)","native"
"Frangula rubra ssp. rubra","L48(N)","native"
"Frangula rubra ssp. yosemitana","L48(N)","native"
"Frangula sphaerosperma","PR(N)",NA
"Frangula sphaerosperma ssp. longipes","PR(N)",NA
"Frankenia","L48(I,N)","native"
"Frankenia jamesii","L48(N)","native"
"Frankenia johnstonii","L48(N)","native"
"Frankenia palmeri","L48(N)","native"
"Frankenia pulverulenta","L48(I)","alien"
"Frankenia salina","L48(N)HI(I)","native"
"Franklinia","L48(N)","native"
"Franklinia alatamaha","L48(N)","native"
"Frasera","L48(N)CAN(N)","native"
"Frasera albicaulis","L48(N)","native"
"Frasera albicaulis var. albicaulis","L48(N)","native"
"Frasera albicaulis var. columbiana","L48(N)","native"
"Frasera albicaulis var. cusickii","L48(N)","native"
"Frasera albicaulis var. idahoensis","L48(N)","native"
"Frasera albicaulis var. modocensis","L48(N)","native"
"Frasera albicaulis var. nitida","L48(N)","native"
"Frasera albomarginata","L48(N)","native"
"Frasera caroliniensis","L48(N)CAN(N)","native"
"Frasera coloradensis","L48(N)","native"
"Frasera fastigiata","L48(N)","native"
"Frasera gypsicola","L48(N)","native"
"Frasera montana","L48(N)","native"
"Frasera neglecta","L48(N)","native"
"Frasera paniculata","L48(N)","native"
"Frasera parryi","L48(N)","native"
"Frasera puberulenta","L48(N)","native"
"Frasera speciosa","L48(N)","native"
"Frasera tubulosa","L48(N)","native"
"Fraxinus","L48(I,N)CAN(I,N)","native"
"Fraxinus albicans","L48(N)","native"
"Fraxinus americana","L48(N)HI(I)CAN(N)","native"
"Fraxinus anomala","L48(N)","native"
"Fraxinus anomala var. anomala","L48(N)","native"
"Fraxinus anomala var. lowellii","L48(N)","native"
"Fraxinus berlandieriana","L48(N)","native"
"Fraxinus caroliniana","L48(N)","native"
"Fraxinus chinensis",NA,NA
"Fraxinus cuspidata","L48(N)","native"
"Fraxinus dipetala","L48(N)","native"
"Fraxinus excelsior","L48(I)CAN(I)","alien"
"Fraxinus gooddingii","L48(N)","native"
"Fraxinus greggii","L48(N)","native"
"Fraxinus latifolia","L48(N)CAN(N)","native"
"Fraxinus mandshurica",NA,NA
"Fraxinus mariesii",NA,NA
"Fraxinus nigra","L48(N)CAN(N)","native"
"Fraxinus ornus",NA,NA
"Fraxinus papillosa","L48(N)","native"
"Fraxinus pennsylvanica","L48(N)CAN(N)","native"
"Fraxinus profunda","L48(N)CAN(N)","native"
"Fraxinus quadrangulata","L48(N)CAN(N)","native"
"Fraxinus uhdei","L48(I)HI(I)PR(I)","alien"
"Fraxinus velutina","L48(N)","native"
"Freesia","L48(I)","alien"
"Freesia alba",NA,NA
"Freesia corymbosa","L48(I)","alien"
"Freesia laxa","L48(I)","alien"
"Fremontodendron","L48(N)","native"
"Fremontodendron californicum","L48(N)","native"
"Fremontodendron decumbens","L48(N)","native"
"Fremontodendron mexicanum","L48(N)","native"
"Freycinetia",NA,NA
"Freycinetia arborea","HI(N)",NA
"Freycinetia mariannensis",NA,NA
"Freycinetia ponapensis",NA,NA
"Freycinetia reineckei","L48(N)","native"
"Freycinetia storckii",NA,NA
"Freycinetia villalobosii","L48(N)","native"
"Friesodielsia",NA,NA
"Friesodielsia obovata",NA,NA
"Fritillaria","L48(N)CAN(N)","native"
"Fritillaria affinis","L48(N)CAN(N)","native"
"Fritillaria affinis var. affinis","L48(N)CAN(N)","native"
"Fritillaria affinis var. tristulis","L48(N)","native"
"Fritillaria agrestis","L48(N)","native"
"Fritillaria atropurpurea","L48(N)","native"
"Fritillaria biflora","L48(N)","native"
"Fritillaria brandegeei","L48(N)","native"
"Fritillaria camschatcensis","L48(N)AK(N)CAN(N)","native"
"Fritillaria eastwoodiae","L48(N)","native"
"Fritillaria falcata","L48(N)","native"
"Fritillaria gentneri","L48(N)","native"
"Fritillaria glauca","L48(N)","native"
"Fritillaria grayana","L48(N)","native"
"Fritillaria imperialis",NA,NA
"Fritillaria liliacea","L48(N)","native"
"Fritillaria meleagris",NA,NA
"Fritillaria micrantha","L48(N)","native"
"Fritillaria ojaiensis","L48(N)","native"
"Fritillaria pinetorum","L48(N)","native"
"Fritillaria pluriflora","L48(N)","native"
"Fritillaria pudica","L48(N)CAN(N)","native"
"Fritillaria purdyi","L48(N)","native"
"Fritillaria recurva","L48(N)","native"
"Fritillaria striata","L48(N)","native"
"Fritillaria viridea","L48(N)","native"
"Froelichia","L48(N)CAN(I)","native"
"Froelichia arizonica","L48(N)","native"
"Froelichia drummondii","L48(N)","native"
"Froelichia floridana","L48(N)","native"
"Froelichia floridana var. campestris","L48(N)","native"
"Froelichia floridana var. floridana","L48(N)","native"
"Froelichia gracilis","L48(N)CAN(I)","native"
"Froelichia interrupta","L48(N)","native"
"Frullania","NA(N)","native"
"Frullania appalachiana","NA(N)","native"
"Frullania arietina","NA(N)","native"
"Frullania asagrayana","NA(N)","native"
"Frullania bolanderi","NA(N)","native"
"Frullania brittoniae","NA(N)","native"
"Frullania californica","NA(N)","native"
"Frullania catalinae","NA(N)","native"
"Frullania chilcootiensis","NA(N)","native"
"Frullania cobrensis","NA(N)","native"
"Frullania cucullata","NA(N)","native"
"Frullania donnellii","NA(N)","native"
"Frullania eboracensis","NA(N)","native"
"Frullania ericoides","NA(N)","native"
"Frullania franciscana","NA(N)","native"
"Frullania gibbosa","NA(N)","native"
"Frullania gymnotis","NA(N)","native"
"Frullania hattoriana","NA(N)","native"
"Frullania inflata","NA(N)","native"
"Frullania inflata var. communis","NA(N)","native"
"Frullania inflata var. inflata","NA(N)","native"
"Frullania jackii","NA(N)","native"
"Frullania kunzei","NA(N)","native"
"Frullania kunzei var. kunzei","NA(N)","native"
"Frullania kunzei var. maritima","NA(N)","native"
"Frullania nisquallensis","NA(N)","native"
"Frullania oakesiana","NA(N)","native"
"Frullania obcordata","NA(N)","native"
"Frullania plana","NA(N)","native"
"Frullania riojaneirensis","NA(N)","native"
"Frullania riparia","NA(N)","native"
"Frullania sabaliana","NA(N)","native"
"Frullania selwyniana","NA(N)","native"
"Frullania stylifera","NA(N)","native"
"Frullania taxodiocola","NA(N)","native"
"Frullanoides","NA(N)","native"
"Frullanoides bahamensis","NA(N)","native"
"Frullanoides corticalis","NA(N)","native"
"Frutidella","NA(N)","native"
"Frutidella caesioatra","NA(N)","native"
"Fryxellia","L48(N)","native"
"Fryxellia pygmaea","L48(N)","native"
"Fuchsia","L48(I)","alien"
"Fuchsia andrei",NA,NA
"Fuchsia arborescens",NA,NA
"Fuchsia boliviana","L48(I)HI(I)","alien"
"Fuchsia hybrida","L48(I)HI(I)","alien"
"Fuchsia magellanica","L48(I)HI(I)","alien"
"Fuchsia magellanica var. macrostema",NA,NA
"Fuchsia paniculata","L48(I)HI(I)","alien"
"Fuchsia vulcanica",NA,NA
"Fuirena","L48(I,N)CAN(N)","native"
"Fuirena breviseta","L48(N)","native"
"Fuirena bushii","L48(N)","native"
"Fuirena coerulescens","L48(I)","alien"
"Fuirena longa","L48(N)","native"
"Fuirena pumila","L48(N)CAN(N)","native"
"Fuirena robusta","PR(N)",NA
"Fuirena scirpoidea","L48(N)","native"
"Fuirena simplex","L48(N)","native"
"Fuirena simplex var. aristulata","L48(N)","native"
"Fuirena simplex var. simplex","L48(N)","native"
"Fuirena squarrosa","L48(N)","native"
"Fuirena umbellata","L48(N)PR(N)","native"
"Fulgensia","NA(N)","native"
"Fulgensia bracteata","NA(N)","native"
"Fulgensia bracteata var. alpina","NA(N)","native"
"Fulgensia desertorum","NA(N)","native"
"Fulgensia fulgens","NA(N)","native"
"Fumaria","L48(I)CAN(I)SPM(I)","alien"
"Fumaria bastardii","CAN(I)NA(I)","alien"
"Fumaria capreolata","L48(I)","alien"
"Fumaria occidentalis","L48(I)","alien"
"Fumaria officinalis","L48(I)CAN(I)SPM(I)","alien"
"Fumaria officinalis ssp. officinalis","L48(I)CAN(I)SPM(I)","alien"
"Fumaria officinalis ssp. wirtgenii","L48(I)","alien"
"Fumaria parviflora","L48(I)","alien"
"Fumaria reuteri","L48(I)","alien"
"Fumaria vaillantii","L48(I)","alien"
"Funaria","NA(N)","native"
"Funaria americana","NA(N)","native"
"Funaria apiculatopilosa","NA(N)","native"
"Funaria arctica","NA(N)","native"
"Funaria calvescens","NA(N)","native"
"Funaria flavicans","NA(N)","native"
"Funaria groutiana","NA(N)","native"
"Funaria hygrometrica","NA(N)","native"
"Funaria microstoma","NA(N)","native"
"Funaria muhlenbergii","NA(N)","native"
"Funaria polaris","NA(N)","native"
"Funaria serrata","NA(N)","native"
"Funastrum","L48(N)","native"
"Funastrum clausum","L48(N)VI(N?)","native"
"Funastrum crispum","L48(N)","native"
"Funastrum cynanchoides","L48(N)","native"
"Funastrum cynanchoides ssp. cynanchoides","L48(N)","native"
"Funastrum cynanchoides ssp. heterophyllum","L48(N)","native"
"Funastrum hirtellum","L48(N)","native"
"Funastrum torreyi","L48(N)","native"
"Funtumia",NA,NA
"Funtumia africana",NA,NA
"Funtumia elastica","PR(I)",NA
"Furcraea","L48(I,N)","native"
"Furcraea antillana","PR(N)",NA
"Furcraea foetida","L48(I)HI(I)","alien"
"Furcraea hexapetala",NA,NA
"Furcraea macrophylla",NA,NA
"Furcraea selloa","L48(N)","native"
"Furcraea stratiotes","VI(I)",NA
"Furcraea tuberosa","PR(N)VI(N)",NA
"Fuscidea","NA(N)","native"
"Fuscidea arboricola","NA(N)","native"
"Fuscidea cyathoides","NA(N)","native"
"Fuscidea gyrodes","NA(N)","native"
"Fuscidea intercincta","NA(N)","native"
"Fuscidea kochiana","NA(N)","native"
"Fuscidea lightfootii","NA(N)","native"
"Fuscidea lowensis","NA(N)","native"
"Fuscidea mollis","NA(N)","native"
"Fuscidea praeruptorum","NA(N)","native"
"Fuscidea pusilla","NA(N)","native"
"Fuscidea recensa","NA(N)","native"
"Fuscidea subfilamentosa","NA(N)","native"
"Fuscidea subreagens","NA(N)","native"
"Fuscopannaria","NA(N)","native"
"Fuscopannaria ahlneri","NA(N)","native"
"Fuscopannaria laceratula","NA(N)","native"
"Fuscopannaria leucophaea","NA(N)","native"
"Fuscopannaria leucosticta","NA(N)","native"
"Fuscopannaria leucostictoides","NA(N)","native"
"Fuscopannaria maritima","NA(N)","native"
"Fuscopannaria mediterranea","NA(N)","native"
"Fuscopannaria praetermissa","NA(N)","native"
"Fuscopannaria pulveracea","NA(N)","native"
"Fuscopannaria saubinetii","NA(N)","native"
"Gadellia","L48(I)CAN(N)","alien"
"Gadellia lactiflora","L48(I)CAN(N)","alien"
"Gaga","L48(N)","native"
"Gaga arizonica","L48(N)","native"
"Gaga kaulfussii","L48(N)","native"
"Gagea","L48(I)","alien"
"Gagea fistulosa","L48(I)","alien"
"Gagea villosa","L48(I)","alien"
"Gahnia",NA,NA
"Gahnia aspera","HI(N)",NA
"Gahnia aspera ssp. globosa","HI(N)",NA
"Gahnia beecheyi","HI(N)",NA
"Gahnia lanaiensis","HI(N)",NA
"Gahnia vitiensis","HI(N)",NA
"Gahnia vitiensis ssp. kauaiensis","HI(N)",NA
"Gaillardia","L48(I,N)CAN(I,N)","native"
"Gaillardia X grandiflora","L48(I)","alien"
"Gaillardia aestivalis","L48(N)","native"
"Gaillardia aestivalis var. aestivalis","L48(N)","native"
"Gaillardia aestivalis var. austrotexana","L48(N)","native"
"Gaillardia aestivalis var. flavovirens","L48(N)","native"
"Gaillardia aestivalis var. winkleri","L48(N)","native"
"Gaillardia amblyodon","L48(N)","native"
"Gaillardia aristata","L48(N)CAN(N)","native"
"Gaillardia arizonica","L48(N)","native"
"Gaillardia coahuilensis","L48(N)","native"
"Gaillardia flava","L48(N)","native"
"Gaillardia multiceps","L48(N)","native"
"Gaillardia multiceps var. microcephala","L48(N)","native"
"Gaillardia multiceps var. multiceps","L48(N)","native"
"Gaillardia parryi","L48(N)","native"
"Gaillardia pinnatifida","L48(N)","native"
"Gaillardia pinnatifida var. linearis","L48(N)","native"
"Gaillardia pinnatifida var. pinnatifida","L48(N)","native"
"Gaillardia pulchella","L48(N)AK(I)HI(I)CAN(I)","native"
"Gaillardia pulchella var. australis","L48(N)","native"
"Gaillardia pulchella var. picta","L48(N)HI(I)","native"
"Gaillardia pulchella var. pulchella","L48(N)HI(I)CAN(I)","native"
"Gaillardia spathulata","L48(N)","native"
"Gaillardia suavis","L48(N)","native"
"Galactia","L48(N)","native"
"Galactia acapulcensis",NA,NA
"Galactia canescens","L48(N)","native"
"Galactia dubia","PR(N)VI(N)",NA
"Galactia eggersii","VI(N)",NA
"Galactia elliottii","L48(N)","native"
"Galactia erecta","L48(N)","native"
"Galactia floridana","L48(N)","native"
"Galactia heterophylla","L48(N)","native"
"Galactia jussiaeana",NA,NA
"Galactia longifolia","L48(N)PR(N)","native"
"Galactia marginalis","L48(N)","native"
"Galactia microphylla","L48(N)","native"
"Galactia mollis","L48(N)","native"
"Galactia parvifolia","L48(N)","native"
"Galactia pinetorum","L48(N)","native"
"Galactia regularis","L48(N)","native"
"Galactia smallii","L48(N)","native"
"Galactia striata","L48(N)PR(N)VI(N)","native"
"Galactia texana","L48(N)","native"
"Galactia volubilis","L48(N)","native"
"Galactia wrightii","L48(N)","native"
"Galactia wrightii var. mollissima","L48(N)","native"
"Galactia wrightii var. wrightii","L48(N)","native"
"Galanthus","L48(I)CAN(I)","alien"
"Galanthus elwesii","L48(I)","alien"
"Galanthus nivalis","L48(I)CAN(I)","alien"
"Galatella",NA,NA
"Galatella punctata",NA,NA
"Galax","L48(N)","native"
"Galax urceolata","L48(N)","native"
"Galeandra","L48(N)","native"
"Galeandra beyrichii","PR(N)",NA
"Galeandra bicarinata","L48(N)","native"
"Galearis","L48(N)CAN(N)","native"
"Galearis spectabilis","L48(N)CAN(N)","native"
"Galega","L48(I)CAN(I)","alien"
"Galega lindblomii",NA,NA
"Galega officinalis","L48(I)CAN(I)","alien"
"Galenia","L48(I)","alien"
"Galenia pubescens","L48(I)","alien"
"Galenia secunda","L48(I)","alien"
"Galeopsis","L48(I)CAN(I)SPM(I,W)","alien"
"Galeopsis angustifolia","L48(I)","alien"
"Galeopsis bifida","L48(I)AK(I)CAN(I)","alien"
"Galeopsis ladanum","L48(I)CAN(I)SPM(W)","alien"
"Galeopsis ladanum var. ladanum","L48(I)CAN(I)SPM(W)","alien"
"Galeopsis ladanum var. latifolia","L48(I)CAN(I)SPM(W)","alien"
"Galeopsis pubescens",NA,NA
"Galeopsis segetum",NA,NA
"Galeopsis speciosa","CAN(I)NA(I)","alien"
"Galeopsis tetrahit","L48(I)AK(I)CAN(I)SPM(I)","alien"
"Galeopsis tetrahit var. arvensis","L48(I)","alien"
"Galeopsis tetrahit var. tetrahit","L48(I)CAN(I)SPM(I)","alien"
"Galinsoga","L48(I)CAN(I)","alien"
"Galinsoga parviflora","L48(I)HI(I)PR(I)CAN(I)","alien"
"Galinsoga quadriradiata","L48(I)HI(I)PR(I)CAN(I)","alien"
"Galinsoga urticifolia","L48(I)","alien"
"Galium","L48(I,N)CAN(I,N)SPM(I,N)","native"
"Galium X pomeranicum","L48(I)CAN(N)","alien"
"Galium album","L48(I)","alien"
"Galium ambiguum","L48(N)","native"
"Galium ambiguum ssp. ambiguum","L48(N)","native"
"Galium ambiguum ssp. siskiyouense","L48(N)","native"
"Galium andrewsii","L48(N)","native"
"Galium andrewsii ssp. andrewsii","L48(N)","native"
"Galium andrewsii ssp. gatense","L48(N)","native"
"Galium andrewsii ssp. intermedium","L48(N)","native"
"Galium angustifolium","L48(N)","native"
"Galium angustifolium ssp. angustifolium","L48(N)","native"
"Galium angustifolium ssp. borregoense","L48(N)","native"
"Galium angustifolium ssp. foliosum","L48(N)","native"
"Galium angustifolium ssp. gabrielense","L48(N)","native"
"Galium angustifolium ssp. gracillimum","L48(N)","native"
"Galium angustifolium ssp. jacinticum","L48(N)","native"
"Galium angustifolium ssp. nudicaule","L48(N)","native"
"Galium angustifolium ssp. onycense","L48(N)","native"
"Galium aparine","L48(N)AK(N)CAN(NI)GL(I)","native"
"Galium argense","L48(N)","native"
"Galium aristatum","L48(I)","alien"
"Galium arkansanum","L48(N)","native"
"Galium asprellum","L48(N)CAN(N)","native"
"Galium bermudense",NA,NA
"Galium bifolium","L48(N)CAN(N)","native"
"Galium bolanderi","L48(N)","native"
"Galium boreale","L48(N)AK(N)CAN(N)GL(N)","native"
"Galium brevipes","L48(N)CAN(N)","native"
"Galium buxifolium","L48(N)","native"
"Galium californicum","L48(N)","native"
"Galium californicum ssp. californicum","L48(N)","native"
"Galium californicum ssp. flaccidum","L48(N)","native"
"Galium californicum ssp. luciense","L48(N)","native"
"Galium californicum ssp. maritimum","L48(N)","native"
"Galium californicum ssp. miguelense","L48(N)","native"
"Galium californicum ssp. primum","L48(N)","native"
"Galium californicum ssp. sierrae","L48(N)","native"
"Galium catalinense","L48(N)","native"
"Galium catalinense ssp. acrispum","L48(N)","native"
"Galium catalinense ssp. catalinense","L48(N)","native"
"Galium circaezans","L48(N)CAN(N)","native"
"Galium circaezans var. circaezans","L48(N)AK(N)CAN(N)","native"
"Galium circaezans var. hypomalacum","L48(N)AK(N)CAN(N)","native"
"Galium clementis","L48(N)","native"
"Galium cliftonsmithii","L48(N)","native"
"Galium collomiae","L48(N)","native"
"Galium coloradoense","L48(N)","native"
"Galium concinnum","L48(N)CAN(N)","native"
"Galium correllii","L48(N)","native"
"Galium desereticum","L48(N)","native"
"Galium divaricatum","L48(I)HI(I)","alien"
"Galium emeryense","L48(N)","native"
"Galium emeryense ssp. emeryense","L48(N)","native"
"Galium emeryense ssp. protoscabriusculum","L48(N)","native"
"Galium fendleri","L48(N)","native"
"Galium glabrescens","L48(N)","native"
"Galium glabrescens ssp. glabrescens","L48(N)","native"
"Galium glabrescens ssp. harticum","L48(N)","native"
"Galium glabrescens ssp. josephinense","L48(N)","native"
"Galium glabrescens ssp. modocense","L48(N)","native"
"Galium glaucum","L48(I)CAN(I)","alien"
"Galium grande","L48(N)","native"
"Galium grayanum","L48(N)","native"
"Galium grayanum var. grayanum","L48(N)","native"
